mask_name	original_name	original_tag	imagepro_name	folder	set
campione0.TIF	Mar21bS2C1R2_LHr_200x_g.TIF	Mar21bS2C1R2_LHr_cFos+.tag	campione0	Mar21b	train
campione1.TIF	Mar21bS2C1R2_LHl_200x_g.TIF	Mar21bS2C1R2_LHl_cFos+.tag	campione1	Mar21b	train
campione2.TIF	Mar21bS2C2R1_DMr_200x_g.TIF	Mar21bS2C2R1_DMr_cFos+.tag	campione2	Mar21b	train
campione3.TIF	Mar21bS2C1R3_LHl_200x_g.TIF	Mar21bS2C1R3_LHl_cFos+.tag	campione3	Mar21b	test
campione4.TIF	Mar21bS2C2R1_DMl_200x_g.TIF	Mar21bS2C2R1_DMl_cFos+.tag	campione4	Mar21b	test
campione5.TIF	Mar21bS2C1R3_LHr_200x_g.TIF	Mar21bS2C1R3_LHr_cFos+.tag	campione5	Mar21b	train
campione6.TIF	Mar21bS2C1R1_LHl_200x_g.TIF	Mar21bS2C1R1_LHl_cFos+.tag	campione6	Mar21b	test
campione7.TIF	Mar21bS1C4R2_LHl_200x_g.TIF	Mar21bS1C4R2_LHl_cFos+.tag	campione7	Mar21b	train
campione8.TIF	Mar21bS2C1R1_LHr_200x_g.TIF	Mar21bS2C1R1_LHr_cFos+.tag	campione8	Mar21b	train
campione9.TIF	Mar21bS1C4R2_LHr_200x_g.TIF	Mar21bS1C4R2_LHr_cFos+.tag	campione9	Mar21b	train
campione10.TIF	Mar21bS2C2R2_DMl_200x_g.TIF	Mar21bS2C2R2_DMl_cFos+.tag	campione10	Mar21b	train
campione11.TIF	Mar21bS2C2R2_DMr_200x_g.TIF	Mar21bS2C2R2_DMr_cFos+.tag	campione11	Mar21b	train
campione12.TIF	Mar21bS1C2R3_VLPAGl_200x_g.TIF	Mar21bS1C2R3_VLPAGl_cFos+.tag	campione12	Mar21b	train
campione13.TIF	Mar21bS1C2R3_VLPAGr_200x_g.TIF	Mar21bS1C2R3_VLPAGr_cFos+.tag	campione13	Mar21b	train
campione14.TIF	Mar21bS1C1R3_VLPAGr_200x_g.TIF	Mar21bS1C1R3_VLPAGr_cFos+.tag	campione14	Mar21b	train
campione15.TIF	Mar21bS2C3R2_LHl_200x_g.TIF	Mar21bS2C3R2_LHl_cFos+.tag	campione15	Mar21b	train
campione16.TIF	Mar21bS2C1R3_DMr_200x_g.TIF	Mar21bS2C1R3_DMr_cFos+.tag	campione16	Mar21b	train
campione17.TIF	Mar21bS2C2R1_LHl_200x_g.TIF	Mar21bS2C2R1_LHl_cFos+.tag	campione17	Mar21b	train
campione18.TIF	Mar21bS1C1R3_VLPAGl_200x_g.TIF	Mar21bS1C1R3_VLPAGl_cFos+.tag	campione18	Mar21b	train
campione19.TIF	Mar21bS2C3R2_LHr_200x_g.TIF	Mar21bS2C3R2_LHr_cFos+.tag	campione19	Mar21b	train
campione20.TIF	Mar21bS2C1R3_DMl_200x_g.TIF	Mar21bS2C1R3_DMl_cFos+.tag	campione20	Mar21b	train
campione21.TIF	Mar21bS2C2R1_LHr_200x_g.TIF	Mar21bS2C2R1_LHr_cFos+.tag	campione21	Mar21b	train
campione22.TIF	Mar21bS1C2R2_VLPAGl_200x_g.TIF	Mar21bS1C2R2_VLPAGl_cFos+.tag	campione22	Mar21b	train
campione23.TIF	Mar21bS2C1R2_DMl_200x_g.TIF	Mar21bS2C1R2_DMl_cFos+.tag	campione23	Mar21b	train
campione24.TIF	Mar21bS2C1R2_DMr_200x_g.TIF	Mar21bS2C1R2_DMr_cFos+.tag	campione24	Mar21b	test
campione25.TIF	Mar21bS1C2R2_VLPAGr_200x_g.TIF	Mar21bS1C2R2_VLPAGr_cFos+.tag	campione25	Mar21b	train
campione26.TIF	Mar21bS1C1R2_VLPAGr_200x_g.TIF	Mar21bS1C1R2_VLPAGr_cFos+.tag	campione26	Mar21b	train
campione27.TIF	Mar21bS1C1R2_VLPAGl_200x_g.TIF	Mar21bS1C1R2_VLPAGl_cFos+.tag	campione27	Mar21b	train
campione28.TIF	Mar21bS1C2R1_VLPAGl_200x_g.TIF	Mar21bS1C2R1_VLPAGl_cFos+.tag	campione28	Mar21b	train
campione29.TIF	Mar21bS1C2R1_VLPAGr_200x_g.TIF	Mar21bS1C2R1_VLPAGr_cFos+.tag	campione29	Mar21b	train
campione30.TIF	Mar21bS2C2R2_LHr_200x_g.TIF	Mar21bS2C2R2_LHr_cFos+.tag	campione30	Mar21b	train
campione31.TIF	Mar21bS2C2R2_LHl_200x_g.TIF	Mar21bS2C2R2_LHl_cFos+.tag	campione31	Mar21b	test
campione32.TIF	Mar21bS1C4R2_DMr_200x_g.TIF	Mar21bS1C4R2_DMr_cFos+.tag	campione32	Mar21b	train
campione33.TIF	Mar21bS2C2R3_LHl_200x_g.TIF	Mar21bS2C2R3_LHl_cFos+.tag	campione33	Mar21b	train
campione34.TIF	Mar21bS1C4R2_DMl_200x_g.TIF	Mar21bS1C4R2_DMl_cFos+.tag	campione34	Mar21b	test
campione35.TIF	Mar21bS2C2R3_LHr_200x_g.TIF	Mar21bS2C2R3_LHr_cFos+.tag	campione35	Mar21b	train
campione36.TIF	Mar20bS2C3R2_LHl_200x_g.TIF	Mar20bS2C3R2_LHl_cFos+.tag	campione0	Mar20b	train
campione37.TIF	Mar20bS2C1R3_DMr_200x_g.TIF	Mar20bS2C1R3_DMr_cFos+.tag	campione1	Mar20b	train
campione38.TIF	Mar20bS2C2R1_LHl_200x_g.TIF	Mar20bS2C2R1_LHl_cFos+.tag	campione2	Mar20b	train
campione39.TIF	Mar20bS2C3R2_LHr_200x_g.TIF	Mar20bS2C3R2_LHr_cFos+.tag	campione3	Mar20b	test
campione40.TIF	Mar20bS2C1R3_DMl_200x_g.TIF	Mar20bS2C1R3_DMl_cFos+.tag	campione4	Mar20b	train
campione41.TIF	Mar20bS2C2R1_LHr_200x_g.TIF	Mar20bS2C2R1_LHr_cFos+.tag	campione5	Mar20b	train
campione42.TIF	Mar20bS1C4R1_DMl_200x_g.TIF	Mar20bS1C4R1_DMl_cFos+.tag	campione6	Mar20b	train
campione43.TIF	Mar20bS2C1R2_DMl_200x_g.TIF	Mar20bS2C1R2_DMl_cFos+.tag	campione7	Mar20b	train
campione44.TIF	Mar20bS1C4R1_DMr_200x_g.TIF	Mar20bS1C4R1_DMr_cFos+.tag	campione8	Mar20b	train
campione45.TIF	Mar20bS2C1R2_DMr_200x_g.TIF	Mar20bS2C1R2_DMr_cFos+.tag	campione9	Mar20b	train
campione46.TIF	Mar20bS2C3R1_LHr_200x_g.TIF	Mar20bS2C3R1_LHr_cFos+.tag	campione10	Mar20b	test
campione47.TIF	Mar20bS2C2R2_LHr_200x_g.TIF	Mar20bS2C2R2_LHr_cFos+.tag	campione11	Mar20b	train
campione48.TIF	Mar20bS1C4R3_DMl_200x_g.TIF	Mar20bS1C4R3_DMl_cFos+.tag	campione12	Mar20b	train
campione49.TIF	Mar20bS2C3R1_LHl_200x_g.TIF	Mar20bS2C3R1_LHl_cFos+.tag	campione13	Mar20b	train
campione50.TIF	Mar20bS2C2R2_LHl_200x_g.TIF	Mar20bS2C2R2_LHl_cFos+.tag	campione14	Mar20b	train
campione51.TIF	Mar20bS1C4R3_DMr_200x_g.TIF	Mar20bS1C4R3_DMr_cFos+.tag	campione15	Mar20b	test
campione52.TIF	Mar20bS2C2R3_LHl_200x_g.TIF	Mar20bS2C2R3_LHl_cFos+.tag	campione16	Mar20b	train
campione53.TIF	Mar20bS2C1R1_DMr_200x_g.TIF	Mar20bS2C1R1_DMr_cFos+.tag	campione17	Mar20b	train
campione54.TIF	Mar20bS2C2R3_LHr_200x_g.TIF	Mar20bS2C2R3_LHr_cFos+.tag	campione18	Mar20b	train
campione55.TIF	Mar20bS2C1R1_DMl_200x_g.TIF	Mar20bS2C1R1_DMl_cFos+.tag	campione19	Mar20b	train
campione56.TIF	Mar20bS2C1R2_LHr_200x_g.TIF	Mar20bS2C1R2_LHr_cFos+.tag	campione20	Mar20b	train
campione57.TIF	Mar20bS1C4R1_LHr_200x_g.TIF	Mar20bS1C4R1_LHr_cFos+.tag	campione21	Mar20b	train
campione58.TIF	Mar20bS2C1R2_LHl_200x_g.TIF	Mar20bS2C1R2_LHl_cFos+.tag	campione22	Mar20b	train
campione59.TIF	Mar20bS1C4R1_LHl_200x_g.TIF	Mar20bS1C4R1_LHl_cFos+.tag	campione23	Mar20b	train
campione60.TIF	Mar20bS2C1R3_LHl_200x_g.TIF	Mar20bS2C1R3_LHl_cFos+.tag	campione24	Mar20b	train
campione61.TIF	Mar20bS1C2R1_VLPAGr_200x_g.TIF	Mar20bS1C2R1_VLPAGr_cFos+.tag	campione25	Mar20b	train
campione62.TIF	Mar20bS1C3R1_VLPAGl_200x_g.TIF	Mar20bS1C3R1_VLPAGl_cFos+.tag	campione26	Mar20b	train
campione63.TIF	Mar20bS1C3R1_VLPAGr_200x_g.TIF	Mar20bS1C3R1_VLPAGr_cFos+.tag	campione27	Mar20b	train
campione64.TIF	Mar20bS2C1R3_LHr_200x_g.TIF	Mar20bS2C1R3_LHr_cFos+.tag	campione28	Mar20b	train
campione65.TIF	Mar20bS1C2R1_VLPAGl_200x_g.TIF	Mar20bS1C2R1_VLPAGl_cFos+.tag	campione29	Mar20b	train
campione66.TIF	Mar20bS1C2R2_VLPAGr_200x_g.TIF	Mar20bS1C2R2_VLPAGr_cFos+.tag	campione30	Mar20b	train
campione67.TIF	Mar20bS1C3R2_VLPAGl_200x_g.TIF	Mar20bS1C3R2_VLPAGl_cFos+.tag	campione31	Mar20b	train
campione68.TIF	Mar20bS1C3R2_VLPAGr_200x_g.TIF	Mar20bS1C3R2_VLPAGr_cFos+.tag	campione32	Mar20b	train
campione69.TIF	Mar20bS1C2R2_VLPAGl_200x_g.TIF	Mar20bS1C2R2_VLPAGl_cFos+.tag	campione33	Mar20b	train
campione70.TIF	Mar20bS2C1R1_LHl_200x_g.TIF	Mar20bS2C1R1_LHl_cFos+.tag	campione34	Mar20b	train
campione71.TIF	Mar20bS2C1R1_LHr_200x_g.TIF	Mar20bS2C1R1_LHr_cFos+.tag	campione35	Mar20b	test
campione72.TIF	Mar20bS1C4R3_LHr_200x_g.TIF	Mar20bS1C4R3_LHr_cFos+.tag	campione36	Mar20b	train
campione73.TIF	Mar20bS1C2R3_VLPAGr_200x_g.TIF	Mar20bS1C2R3_VLPAGr_cFos+.tag	campione37	Mar20b	train
campione74.TIF	Mar20bS1C4R3_LHl_200x_g.TIF	Mar20bS1C4R3_LHl_cFos+.tag	campione38	Mar20b	train
campione75.TIF	Mar20bS2C2R2_DMr_200x_g.TIF	Mar20bS2C2R2_DMr_cFos+.tag	campione39	Mar20b	train
campione76.TIF	Mar20bS1C2R3_VLPAGl_200x_g.TIF	Mar20bS1C2R3_VLPAGl_cFos+.tag	campione40	Mar20b	train
campione77.TIF	Mar20bS1C1R3_VLPAGl_200x_g.TIF	Mar20bS1C1R3_VLPAGl_cFos+.tag	campione41	Mar20b	train
campione78.TIF	Mar20bS1C1R3_VLPAGr_200x_g.TIF	Mar20bS1C1R3_VLPAGr_cFos+.tag	campione42	Mar20b	train
campione79.TIF	RT466S5C1R1_DM_100x_g.TIF	RT466S5C1R1_DM_cFos+.tag	campione0	RT466	train
campione80.TIF	RT466S5C1R2_ParCortex_100x_g.TIF	RT466S5C1R2_ParCortex_cFos+.tag	campione1	RT466	train
campione81.TIF	RT466S8C2R1_VLPAG_100x_g.TIF	RT466S8C2R1_VLPAG_cFos+.tag	campione2	RT466	train
campione82.TIF	RT466S5C1R1_LH_100x_g.TIF	RT466S5C1R1_LH_cFos+.tag	campione3	RT466	train
campione83.TIF	RT466S2C3R2_Septim_100x_g.TIF	RT466S2C3R2_Septim_cFos+.tag	campione4	RT466	train
campione84.TIF	RT466S11C2R2_RVLM_100x_g.TIF	RT466S11C2R2_RVLM_cFos+.tag	campione5	RT466	test
campione85.TIF	RT466S6C3R1_MM_100x_g.TIF	RT466S6C3R1_MM_cFos+.tag	campione6	RT466	train
campione86.TIF	Mar24bS1C2R3_LHr_200x_g.TIF	Mar24bS1C2R3_LHr_cFos+.tag	campione0	Mar24b	train
campione87.TIF	Mar24bS1C1R1_DMl_200x_g.TIF	Mar24bS1C1R1_DMl_cFos+.tag	campione1	Mar24b	train
campione88.TIF	Mar24bS1C2R3_LHl_200x_g.TIF	Mar24bS1C2R3_LHl_cFos+.tag	campione2	Mar24b	train
campione89.TIF	Mar24bS1C1R1_DMr_200x_g.TIF	Mar24bS1C1R1_DMr_cFos+.tag	campione3	Mar24b	train
campione90.TIF	Mar24bS1C3R1_LHl_200x_g.TIF	Mar24bS1C3R1_LHl_cFos+.tag	campione4	Mar24b	test
campione91.TIF	Mar24bS1C2R2_LHl_200x_g.TIF	Mar24bS1C2R2_LHl_cFos+.tag	campione5	Mar24b	train
campione92.TIF	Mar24bS2C4R3_DMr_200x_g.TIF	Mar24bS2C4R3_DMr_cFos+.tag	campione6	Mar24b	train
campione93.TIF	Mar24bS1C3R1_LHr_200x_g.TIF	Mar24bS1C3R1_LHr_cFos+.tag	campione7	Mar24b	train
campione94.TIF	Mar24bS1C2R2_LHr_200x_g.TIF	Mar24bS1C2R2_LHr_cFos+.tag	campione8	Mar24b	test
campione95.TIF	Mar24bS2C4R3_DMl_200x_g.TIF	Mar24bS2C4R3_DMl_cFos+.tag	campione9	Mar24b	train
campione96.TIF	Mar24bS2C1R3_VLPAGl_200x_g.TIF	Mar24bS2C1R3_VLPAGl_cFos+.tag	campione10	Mar24b	train
campione97.TIF	Mar24bS2C1R3_VLPAGr_200x_g.TIF	Mar24bS2C1R3_VLPAGr_cFos+.tag	campione11	Mar24b	train
campione98.TIF	Mar24bS2C2R3_VLPAGr_200x_g.TIF	Mar24bS2C2R3_VLPAGr_cFos+.tag	campione12	Mar24b	train
campione99.TIF	Mar24bS1C1R2_DMr_200x_g.TIF	Mar24bS1C1R2_DMr_cFos+.tag	campione13	Mar24b	train
campione100.TIF	Mar24bS2C2R3_VLPAGl_200x_g.TIF	Mar24bS2C2R3_VLPAGl_cFos+.tag	campione14	Mar24b	train
campione101.TIF	Mar24bS1C1R2_DMl_200x_g.TIF	Mar24bS1C1R2_DMl_cFos+.tag	campione15	Mar24b	train
campione102.TIF	Mar24bS1C3R2_LHr_200x_g.TIF	Mar24bS1C3R2_LHr_cFos+.tag	campione16	Mar24b	train
campione103.TIF	Mar24bS1C2R1_LHr_200x_g.TIF	Mar24bS1C2R1_LHr_cFos+.tag	campione17	Mar24b	train
campione104.TIF	Mar24bS1C3R2_LHl_200x_g.TIF	Mar24bS1C3R2_LHl_cFos+.tag	campione18	Mar24b	train
campione105.TIF	Mar24bS1C2R1_LHl_200x_g.TIF	Mar24bS1C2R1_LHl_cFos+.tag	campione19	Mar24b	train
campione106.TIF	Mar24bS2C2R2_VLPAGr_200x_g.TIF	Mar24bS2C2R2_VLPAGr_cFos+.tag	campione20	Mar24b	train
campione107.TIF	Mar24bS2C2R2_VLPAGl_200x_g.TIF	Mar24bS2C2R2_VLPAGl_cFos+.tag	campione21	Mar24b	train
campione108.TIF	Mar24bS2C4R3_LHl_200x_g.TIF	Mar24bS2C4R3_LHl_cFos+.tag	campione22	Mar24b	train
campione109.TIF	Mar24bS1C2R2_DMr_200x_g.TIF	Mar24bS1C2R2_DMr_cFos+.tag	campione23	Mar24b	train
campione110.TIF	Mar24bS2C4R3_LHr_200x_g.TIF	Mar24bS2C4R3_LHr_cFos+.tag	campione24	Mar24b	train
campione111.TIF	Mar24bS1C2R2_DMl_200x_g.TIF	Mar24bS1C2R2_DMl_cFos+.tag	campione25	Mar24b	train
campione112.TIF	Mar24bS1C1R1_LHr_200x_g.TIF	Mar24bS1C1R1_LHr_cFos+.tag	campione26	Mar24b	train
campione113.TIF	Mar24bS1C2R3_DMl_200x_g.TIF	Mar24bS1C2R3_DMl_cFos+.tag	campione27	Mar24b	train
campione114.TIF	Mar24bS1C1R1_LHl_200x_g.TIF	Mar24bS1C1R1_LHl_cFos+.tag	campione28	Mar24b	train
campione115.TIF	Mar24bS1C2R3_DMr_200x_g.TIF	Mar24bS1C2R3_DMr_cFos+.tag	campione29	Mar24b	train
campione116.TIF	Mar24bS1C2R1_DMl_200x_g.TIF	Mar24bS1C2R1_DMl_cFos+.tag	campione30	Mar24b	train
campione117.TIF	Mar24bS1C1R2_LHl_200x_g.TIF	Mar24bS1C1R2_LHl_cFos+.tag	campione31	Mar24b	train
campione118.TIF	Mar19bS1C3R2_VLPAGl_200x_g.TIF	Mar19bS1C3R2_VLPAGl_cFos+.tag	campione0	Mar19b	train
campione119.TIF	Mar19bS1C2R2_VLPAGr_200x_g.TIF	Mar19bS1C2R2_VLPAGr_cFos+.tag	campione1	Mar19b	train
campione120.TIF	Mar19bS1C2R2_VLPAGl_200x_g.TIF	Mar19bS1C2R2_VLPAGl_cFos+.tag	campione2	Mar19b	train
campione121.TIF	Mar19bS1C3R2_VLPAGr_200x_g.TIF	Mar19bS1C3R2_VLPAGr_cFos+.tag	campione3	Mar19b	train
campione122.TIF	Mar19bS1C5R3_LHl_200x_g.TIF	Mar19bS1C5R3_LHl_cFos+.tag	campione4	Mar19b	train
campione123.TIF	Mar19bS1C1R2_VLPAGr_200x_g.TIF	Mar19bS1C1R2_VLPAGr_cFos+.tag	campione5	Mar19b	train
campione124.TIF	Mar19bS1C5R3_LHr_200x_g.TIF	Mar19bS1C5R3_LHr_cFos+.tag	campione6	Mar19b	train
campione125.TIF	Mar19bS2C1R2_LHr_200x_g.TIF	Mar19bS2C1R2_LHr_cFos+.tag	campione7	Mar19b	train
campione126.TIF	Mar19bS1C5R2_LHr_200x_g.TIF	Mar19bS1C5R2_LHr_cFos+.tag	campione8	Mar19b	test
campione127.TIF	Mar19bS1C3R3_VLPAGl_200x_g.TIF	Mar19bS1C3R3_VLPAGl_cFos+.tag	campione9	Mar19b	train
campione128.TIF	Mar19bS1C2R3_VLPAGr_200x_g.TIF	Mar19bS1C2R3_VLPAGr_cFos+.tag	campione10	Mar19b	train
campione129.TIF	Mar19bS1C2R3_VLPAGl_200x_g.TIF	Mar19bS1C2R3_VLPAGl_cFos+.tag	campione11	Mar19b	train
campione130.TIF	Mar19bS2C1R2_LHl_200x_g.TIF	Mar19bS2C1R2_LHl_cFos+.tag	campione12	Mar19b	train
